Tipo;ID;Parent ID;Nome (EN);Nome (TH);Prezzo;Modificatore Prezzo;SKU;Descrizione (EN);Descrizione (TH);Immagine (URL);Immagine (File);Icona Categoria;Gruppo Extra Abilitati
"Categoria";"traditional-italian-pizza";"";"Traditional Italian Pizza";"พิซซ่าอิตาเลียนแบบดั้งเดิม";"";"";"";"";"";"";"";"🍕";""
"Piatto";"pizza-marinara-vegan";"traditional-italian-pizza";"PIZZA MARINARA Vegan";"พิซซ่ามารีนาร่า มังสวิรัติ";"170";"";"";"Tomato Sauce, Garlic, Olive Oil";"ซอสมะเขือเทศ, กระเทียม, น้ำมันมะกอก";"https://gjqevgkbjkharczhikcl.supabase.co/storage/v1/object/public/delivery_food/01-Pizza/01-pizza-marinara-vegan.webp";"01-Pizza/01-pizza-marinara-vegan.webp";"";"Pizza Extras"
"Variante";"10000";"pizza-marinara-vegan";"12""";"12""";"170";"0";"10000";"";"";"";"";"";""
"Variante";"10136";"pizza-marinara-vegan";"8""";"8""";"100";"-70";"10136";"";"";"";"";"";""
"Extra";"10122";"pizza-marinara-vegan";"1 Egg Extra";"ไข่ไก่เพิ่ม";"20";"";"10122";"";"";"";"";"";""
"Extra";"10285";"pizza-marinara-vegan";"Anchovies Extra";"แองโชวี่เพิ่ม";"50";"";"10285";"";"";"";"";"";""
"Extra";"10096";"pizza-marinara-vegan";"Artichoke Extra";"อาร์ติโชคเพิ่ม";"50";"";"10096";"";"";"";"";"";""
"Extra";"10111";"pizza-marinara-vegan";"Bacon Extra";"เบคอนเพิ่ม";"50";"";"10111";"";"";"";"";"";""
"Extra";"10138";"pizza-marinara-vegan";"Black Olives Extra";"มะกอกดำเพิ่ม";"40";"";"10138";"";"";"";"";"";""
"Extra";"10121";"pizza-marinara-vegan";"Capers Extra";"เคเปอร์เพิ่ม";"40";"";"10121";"";"";"";"";"";""
"Extra";"10129";"pizza-marinara-vegan";"Chicken Ham Extra";"แฮมไก่เพิ่ม";"50";"";"10129";"";"";"";"";"";""
"Extra";"10141";"pizza-marinara-vegan";"Chicken Salame Extra";"ซาลามี่ไก่เพิ่ม";"50";"";"10141";"";"";"";"";"";""
"Extra";"10102";"pizza-marinara-vegan";"Extra "" Mozzarella Cheese";"ชีสมอซซาเรลล่าเพิ่ม";"50";"";"10102";"";"";"";"";"";""
"Extra";"10191";"pizza-marinara-vegan";"Fresh Tomato Extra";"มะเขือเทศสดเพิ่ม";"20";"";"10191";"";"";"";"";"";""
